partner,habitat,species,mean_confidence,median_confidence,min_confidence,max_confidence,sd_confidence,n_recordings
belgium,F,Parus major_Great Tit,0.7143407953212936,0.693137466907501,0.500301003456116,0.998461723327637,0.14866455398085135,251
belgium,F,Phasianus colchicus_Ring-necked Pheasant,0.6225097477436065,0.577173501253128,0.518552541732788,0.817139446735382,0.133910862464177,4
belgium,F,Phoenicurus ochruros_Black Redstart,0.7747933467229207,0.762110352516174,0.715630888938904,0.846638798713684,0.06641846025334747,3
belgium,F,Phoenicurus phoenicurus_Common Redstart,0.813384622335434,0.813384622335434,0.712208926677704,0.914560317993164,0.14308404098169442,2
belgium,F,Phylloscopus collybita_Common Chiffchaff,0.672012378951756,0.651214778423309,0.500090837478638,0.985710561275482,0.12147021058448643,3373
belgium,F,Phylloscopus inornatus_Yellow-browed Warbler,0.82897561788559,0.82897561788559,0.82897561788559,0.82897561788559,NA,1
belgium,F,Phylloscopus sibilatrix_Wood Warbler,0.7749731828426493,0.771472930908203,0.701269865036011,0.926095247268677,0.06373919905034928,29
belgium,F,Pica pica_Eurasian Magpie,0.8208603999680943,0.8243768215179446,0.640662133693695,0.997282862663269,0.11216225386548494,216
belgium,F,Picus canus_Gray-headed Woodpecker,0.8109612464904785,0.8065272867679595,0.757836759090424,0.872953653335571,0.047822048086746796,4
belgium,F,Picus viridis_Eurasian Green Woodpecker,0.9093068060157337,0.946155726909637,0.700341761112213,0.999858617782593,0.08850615088392288,711
belgium,F,Pluvialis apricaria_European Golden-Plover,0.82612869143486,0.82612869143486,0.79506117105484,0.85719621181488,0.04393610867072686,2
belgium,F,Poecile palustris_Marsh Tit,0.8915484845638275,0.8915484845638275,0.877443313598633,0.905653655529022,0.019947724078569234,2
belgium,F,Prunella modularis_Dunnock,0.7052237221172877,0.717653512954712,0.516621828079224,0.903555393218994,0.12461952771939977,7
belgium,F,Pyrrhocorax pyrrhocorax_Red-billed Chough,0.8360462784767153,0.830030679702759,0.818466186523438,0.859641969203949,0.021236803933150687,3
belgium,F,Pyrrhula pyrrhula_Eurasian Bullfinch,0.8252109289169314,0.789188921451569,0.781259775161743,0.905184090137482,0.06937216824438677,3
belgium,F,Rallus aquaticus_Water Rail,0.741566340128581,0.734300494194031,0.707752585411072,0.78264594078064,0.03797167440983557,3
belgium,F,Regulus ignicapilla_Common Firecrest,0.8176751732826234,0.772833168506622,0.711275935173035,0.953570544719696,0.09553089531553839,7
belgium,F,Regulus regulus_Goldcrest,0.8220426907906165,0.832575440406799,0.670969307422638,0.988335371017456,0.10125915019447619,65
belgium,F,Scolopax rusticola_Eurasian Woodcock,0.8159219405867837,0.781488597393036,0.701029181480408,0.974404335021973,0.09924484519092408,11
belgium,F,Sitta europaea_Eurasian Nuthatch,0.7637283567664692,0.775356888771057,0.500643134117126,0.993774056434631,0.14538846188030266,412
belgium,F,Stercorarius skua_Great Skua,0.706234931945801,0.706234931945801,0.706234931945801,0.706234931945801,NA,1
belgium,F,Streptopelia decaocto_Eurasian Collared-Dove,0.7859330092157636,0.766909897327423,0.711826622486115,0.913652181625366,0.06464677079389203,14
belgium,F,Streptopelia turtur_European Turtle-Dove,0.767951548099518,0.767951548099518,0.709563791751862,0.826339304447174,0.08257275690339085,2
belgium,F,Strix aluco_Tawny Owl,0.9118612654243218,0.945092082023621,0.700023770332336,0.999976515769958,0.08696788262379335,1609
belgium,F,Sylvia atricapilla_Eurasian Blackcap,0.7398575310307648,0.727779269218445,0.609810650348663,0.985923647880554,0.09471770344626144,191
belgium,F,Tachybaptus ruficollis_Little Grebe,0.947000801563263,0.947000801563263,0.947000801563263,0.947000801563263,NA,1
belgium,F,Thalasseus sandvicensis_Sandwich Tern,0.730351507663727,0.730351507663727,0.730351507663727,0.730351507663727,NA,1
belgium,F,Tringa nebularia_Common Greenshank,0.990703701972961,0.990703701972961,0.990703701972961,0.990703701972961,NA,1
belgium,F,Troglodytes troglodytes_Eurasian Wren,0.7710713643685432,0.7824592888355255,0.500023484230042,0.999585688114166,0.1532934703785604,20270
belgium,F,Turdus iliacus_Redwing,0.8223619223728006,0.812780141830444,0.700262308120728,0.99228036403656,0.08017743767163382,329
belgium,F,Turdus merula_Eurasian Blackbird,0.6571192808052875,0.630845606327057,0.500016927719116,0.995919466018677,0.12195897478582483,921
belgium,F,Turdus philomelos_Song Thrush,0.959228416283925,0.954239964485168,0.950197339057922,0.973247945308685,0.012308375223534554,3
belgium,F,Turdus viscivorus_Mistle Thrush,0.7643805940945947,0.756248474121094,0.755231320858002,0.781661987304688,0.014974764226910233,3
belgium,F,Tyto alba_Barn Owl,0.9043252603212992,0.928348779678345,0.712691366672516,0.999366223812103,0.0835812390838041,75
belgium,F,Vanellus vanellus_Northern Lapwing,0.811301648616791,0.809881985187531,0.722130417823792,0.90189254283905,0.08988947091116732,3
belgium,G,Acanthis flammea_Common Redpoll,0.8329637348651884,0.81292250752449,0.780577659606934,0.941612601280212,0.06134387973045002,6
belgium,G,Acrocephalus arundinaceus_Great Reed Warbler,0.843608796596527,0.843608796596527,0.843608796596527,0.843608796596527,NA,1
belgium,G,Acrocephalus palustris_Marsh Warbler,0.8522815227508544,0.844253957271576,0.737013876438141,0.974960386753082,0.08924408533412381,5
belgium,G,Acrocephalus schoenobaenus_Sedge Warbler,0.8912334235000108,0.908733129501343,0.700316071510315,0.999862194061279,0.09226316631252877,2279
belgium,G,Acrocephalus scirpaceus_Eurasian Reed Warbler,0.8244045525789265,0.8167677819728855,0.72998058795929,0.934102058410645,0.08485766334703693,4
belgium,G,Actitis hypoleucos_Common Sandpiper,0.9279715418815612,0.96950027346611,0.7092205286026,0.998686015605927,0.0900736641369544,32
belgium,G,Aegithalos caudatus_Long-tailed Tit,0.8919967539035357,0.89335972070694,0.789870202541351,0.996439754962921,0.0600463516038131,156
belgium,G,Aegolius funereus_Boreal Owl,0.938494443893433,0.938494443893433,0.938494443893433,0.938494443893433,NA,1
belgium,G,Aix galericulata_Mandarin Duck,0.8214488343188637,0.8045956790447235,0.703162372112274,0.962859928607941,0.08256462101842306,38
belgium,G,Alauda arvensis_Eurasian Skylark,0.6389411290486653,0.683944582939148,0.537335932254791,0.695542871952057,0.08818357040088694,3
belgium,G,Alca torda_Razorbill,0.85515433549881,0.85515433549881,0.85515433549881,0.85515433549881,NA,1
belgium,G,Alcedo atthis_Common Kingfisher,0.883277201652527,0.906962215900421,0.713559448719025,0.996387004852295,0.12202034358729881,5
belgium,G,Alectoris rufa_Red-legged Partridge,0.8631015121936795,0.8631015121936795,0.740504145622253,0.985698878765106,0.17337885851653728,2
belgium,G,Alopochen aegyptiaca_Egyptian Goose,0.8739395314141323,0.864270955324173,0.722200691699982,0.999200642108917,0.09643925335787666,38
belgium,G,Anas acuta_Northern Pintail,0.808991402387619,0.808991402387619,0.799620687961578,0.81836211681366,0.01325219143043237,2
belgium,G,Anas crecca_Green-winged Teal,0.8102567873588981,0.799062967300415,0.703416645526886,0.996787548065186,0.0791247946014893,73
belgium,G,Anas platyrhynchos_Mallard,0.8151339628636759,0.804894328117371,0.700182616710663,0.987433016300201,0.07305744792794436,759
belgium,G,Anser albifrons_Greater White-fronted Goose,0.857658892869949,0.857658892869949,0.80005806684494,0.915259718894958,0.08145986936846093,2
belgium,G,Anser anser_Graylag Goose,0.9312784065965746,0.940869927406311,0.838426828384399,0.996380150318146,0.04695147481098939,61
belgium,G,Anser brachyrhynchus_Pink-footed Goose,0.7912042617797851,0.775347113609314,0.702546417713165,0.903868556022644,0.06124959473906656,20
belgium,G,Anser serrirostris_Tundra Bean-Goose,0.708763599395752,0.708763599395752,0.708763599395752,0.708763599395752,NA,1
belgium,G,Anthus pratensis_Meadow Pipit,0.7910074293613434,0.813078314065933,0.544661521911621,0.996970176696777,0.13513716497630915,488
belgium,G,Anthus trivialis_Tree Pipit,0.8163374229481346,0.794264376163483,0.700623750686646,0.995975911617279,0.08421421014597974,95
belgium,G,Apus apus_Common Swift,0.9454194406668347,0.9594613313674925,0.89641147851944,0.985840916633606,0.039217888244904325,6
belgium,G,Apus melba_Alpine Swift,0.8062084487506321,0.791441142559052,0.705000877380371,0.987373173236847,0.1021642056842015,7
belgium,G,Ardea alba_Great Egret,0.74935108423233,0.74935108423233,0.74935108423233,0.74935108423233,NA,1
belgium,G,Ardea cinerea_Gray Heron,0.8861465692151073,0.911591798067093,0.700409412384033,0.999807417392731,0.09110368514497914,646
belgium,G,Ardea purpurea_Purple Heron,0.7615190029144285,0.733852982521057,0.719821333885193,0.886749446392059,0.07029368426496499,5
belgium,G,Asio flammeus_Short-eared Owl,0.8012903730074563,0.8406742811203,0.701694190502167,0.861502647399902,0.08687925464510785,3
belgium,G,Asio otus_Long-eared Owl,0.7501433789730073,0.7495782375335696,0.701594591140747,0.802848339080811,0.03379213239851872,10
belgium,G,Athene noctua_Little Owl,0.9098896489012986,0.9438258409500124,0.702440083026886,0.999996781349182,0.0933695026578324,768
belgium,G,Bombycilla garrulus_Bohemian Waxwing,0.839087009429932,0.839087009429932,0.839087009429932,0.839087009429932,NA,1
belgium,G,Botaurus stellaris_Great Bittern,0.8209739333217584,0.811634540557861,0.700453400611877,0.990885078907013,0.07596317656495741,103
belgium,G,Branta bernicla_Brant,0.8078937552191995,0.792029976844788,0.700374841690063,0.983008563518524,0.07781234276972834,165
belgium,G,Branta canadensis_Canada Goose,0.8174389564011195,0.8063219487667085,0.700424253940582,0.993625044822693,0.07612722307240186,146
