Partner acronym,Year,Deployment code,Deployment code,Device ID,Device deployment date (double-click cell to bring up calendar),Device retrieval date (double-click cell to bring up calendar),"Device latitude (in degrees, WGS84, EPSG: 4326, optional)","Device longitude (in degrees, WGS84, EPSG: 4326, optional)","Secondary device ID (optional, e.g. AMI trap internal ID)",Downtime (?),
DACC,2025,F2,Song Meter Mini 2,2LA02296,15/05/2025,20/07/2025,41.9922,1.5094,,,
DACC,2025,F2,Song Meter Mini Bat 2,2LU00118,15/05/2025,23/07/2025,41.9922,1.5094,,,
DACC,2025,W2,TOMST TMS-4 Standard,TMS 96511697?,03/09/2025,,,,,,
DACC,2025,F1,TOMST TMS-4 Standard,TMS 96511695,02/07/2025,,41.982815,1.528177,,,
DACC,2025,G2,TOMST TMS-4 Standard,TMS 96511696,02/07/2025,,41.478966,0.709848,,,
ExEA,2024,F1,AMI,RW-AMI-0049,22/08/2024,30/10/2024,42.62282,23.22492,,,
ExEA,2024,G1,AMI,RW-AMI-0050,02/08/2024,26/09/2024,42.06881,23.81658,,,
ExEA,2024,W1,AMI,RW-AMI-0051,23/08/2024,28/10/2024,42.93629,22.94964,,,
ExEA,2024,F1,TOMST TMS-4 Standard,95327142,25/07/2024,31/10/2024,42.62297,23.22465,,,
ExEA,2024,G1,TOMST TMS-4 Standard,95327141,02/08/2024,01/11/2024,42.06874,23.81665,,,
ExEA,2024,W1,TOMST TMS-4 Standard,95327143,04/07/2024,29/10/2024,42.93596,22.94934,,,
ExEA,2024,F1,Song Meter Mini 2,2MA01297,25/07/2024,31/10/2024,42.62297,23.22465,,,
ExEA,2024,G1,Song Meter Mini 2,2MA03808,02/08/2024,01/11/2024,42.06877,23.81668,,,
ExEA,2024,W1,Song Meter Mini 2,2MA01302,04/07/2024,21/10/2024,42.93621,22.94944,,,
ExEA,2024,F1,Song Meter Mini Bat 2,2MU00535,25/07/2024,31/10/2024,42.62286,23.22488,,,
ExEA,2024,G1,Song Meter Mini Bat 2,2MU01075,02/08/2024,01/11/2024,42.06882,23.81659,,,
ExEA,2024,W1,Song Meter Mini Bat 2,2MU00298,04/07/2024,29/10/2024,42.93594,22.94933,,,
ExEA,2024,F2,Song Meter Mini 2,2MA04059,25/07/2024,31/10/2024,42.62357,23.22559,,,
ExEA,2024,G2,Song Meter Mini 2,2MA03933,02/08/2024,01/11/2024,42.06829,23.81685,,,
ExEA,2025,F1,AMI,RW-AMI-0049,06/06/2025,01/10/2025,42.62282,23.22492,,,
ExEA,2025,G1,AMI,RW-AMI-0050,13/06/2025,16/10/2025,42.76025,23.39746,,,
ExEA,2025,W1,AMI,RW-AMI-0051,28/05/2025,29/08/2025,42.93629,22.94964,,,
ExEA,2025,F1,TOMST TMS-4 Standard,95327142,20/06/2025,17/10/2025,42.622841,23.22494,,,
ExEA,2025,G1,TOMST TMS-4 Standard,95327141,13/06/2025,29/10/2025,42.760179,23.39747,,,
ExEA,2025,W1,TOMST TMS-4 Standard,95327143,28/05/2025,29/10/2025,42.936311,22.94963,,,
ExEA,2025,F1,Song Meter Mini 2,,,,,,,,
ExEA,2025,G1,Song Meter Mini 2,,,,,,,,
ExEA,2025,W1,Song Meter Mini 2,2MA01302,08/06/2025,,42.93626,22.9494,,,
ExEA,2025,F1,Song Meter Mini Bat 2,,,,,,,,
ExEA,2025,G1,Song Meter Mini Bat 2,,,,,,,,
ExEA,2025,W1,Song Meter Mini Bat 2,2MU00298,08/06/2025,,42.93596,22.94934,,,
ExEA,2025,F2,Song Meter Mini 2,,,,,,,,
