Partner acronym,Year,Deployment code,Deployment code,Device ID,Device deployment date (double-click cell to bring up calendar),Device retrieval date (double-click cell to bring up calendar),"Device latitude (in degrees, WGS84, EPSG: 4326, optional)","Device longitude (in degrees, WGS84, EPSG: 4326, optional)","Secondary device ID (optional, e.g. AMI trap internal ID)",Downtime (?),
VL O INBO,2024,G2,Song Meter Mini Bat 2,2MU02563,09/07/2024,07/11/2024,,,BIOBD06,,
VL O INBO,2024,W1,Song Meter Mini 2,2MA04357,21/06/2024,07/11/2024,,,BIOVG02,,
VL O INBO,2024,W1,Song Meter Mini Bat 2,2MU02507,21/06/2024,07/11/2024,,,BIOBD03,,
VL O INBO,2024,W2,Song Meter Mini 2,2MA04362,21/06/2024,07/11/2024,,,BIOVG05,,
VL O INBO,2024,W2,Song Meter Mini Bat 2,2MU02521,21/06/2024,07/11/2024,,,BIOBD04,,
VL O INBO,2024,F1,TOMST TMS-4 Standard,TMS95327153,26/06/2024,07/11/2024,,,,,
VL O INBO,2024,G1,TOMST TMS-4 Standard,,09/07/2024,07/11/2024,,,,,
VL O INBO,2024,W1,TOMST TMS-4 Standard,,21/06/2024,07/11/2024,,,,,
VL O INBO,2025,F1,Song Meter Mini Bat 2,2MU02563,03/04/2025,,,,BIOBD06,,
VL O INBO,2025,F1,Song Meter Mini 2,2MA04299,03/04/2025,,,,BIOVG04,,
VL O INBO,2025,F2,Song Meter Mini Bat 2,2MU02529,03/04/2025,,,,BIOBD05,,
VL O INBO,2025,F2,Song Meter Mini 2,2MU02459,03/04/2025,,,,BIOVG06,,
VL O INBO,2025,G1,Song Meter Mini Bat 2,2MU02507,03/04/2025,,,,BIOBD03,,
VL O INBO,2025,G1,Song Meter Mini 2,2MA02676,03/04/2025,,,,BIOVG03,,
VL O INBO,2025,G2,Song Meter Mini Bat 2,2MU02597,03/04/2025,,,,BIOBD01,,
VL O INBO,2025,G2,Song Meter Mini 2,2MA02570,03/04/2025,,,,BIOVG01,,
VL O INBO,2025,W1,Song Meter Mini Bat 2,2MU02521,03/04/2025,,,,BIOBD04,,
VL O INBO,2025,W1,Song Meter Mini 2,2MA04362,03/04/2025,,,,BIOVG05,,
VL O INBO,2025,W2,Song Meter Mini Bat 2,2MU02523,03/04/2025,,,,BIOBD02,,
VL O INBO,2025,W2,Song Meter Mini 2,2MA04357,03/04/2025,,,,BIOVG02,,
VL O INBO,2025,F1,TOMST TMS-4 Standard,,03/04/2025,,,,,,
VL O INBO,2025,G1,TOMST TMS-4 Standard,,03/04/2025,,,,,,
VL O INBO,2025,W2,TOMST TMS-4 Standard,,08/05/2025,,,,,,
VL O INBO,2025,F1,AMI,RW-AMI-0045,03/04/2025,,50.97543,3.803983,,,
VL O INBO,2025,G1,AMI,RW-AMI-0042,03/04/2025,,51.15417,3.269258,,,
NPWS,2025,F1,Song Meter Mini 2,2MA02424,01/05/2025,,51.962,-9.573,,,
NPWS,2025,F1,Song Meter Mini Bat 2,2MU01394,01/05/2025,,51.962,-9.573,,,
NPWS,2025,F2,Song Meter Mini 2,2MA02451,01/05/2025,,51.963,-9.57,,,
NPWS,2025,F1,AMI,RW-AMI-0022,01/05/2025,,51.962,-9.573,,,
NPWS,2025,F1,TOMST TMS-4 Standard,,01/05/2025,,51.962,-9.573,,,
NPWS,2025,W1,Song Meter Mini 2,2MA02427,08/05/2025,,53.15695,-7.991388,,,
NPWS,2025,W1,Song Meter Mini Bat 2,2MU01566,08/05/2025,,53.15695,-7.991388,,,
NPWS,2025,W2,Song Meter Mini 2,2MA02446,08/05/2025,,53.156312,-7.98841,,,
NPWS,2025,W1,AMI,RW-AMI-0052,08/05/2025,,53.15695,-7.991388,,,
NPWS,2025,W1,TOMST TMS-4 Standard,,08/05/2025,,53.15695,-7.991388,,,
NPWS,2025,G1,Song Meter Mini 2,2MA02423,08/05/2025,,53.144013,-8.00238,,,
NPWS,2025,G1,Song Meter Mini Bat 2,2MU01474,08/05/2025,,53.144013,-8.00238,,,
NPWS,2025,G2,Song Meter Mini 2,2MA02442,08/05/2025,,53.140544,-7.995247,,,
NPWS,2025,G1,AMI,RW-AMI-0025,08/05/2025,,53.144013,-8.00238,,,
NPWS,2025,G1,TOMST TMS-4 Standard,,08/05/2025,,53.144013,-8.00238,,,
